10000,CSE101 Introduction to Computers,B
10000,CSE102 Introduction to Web Design and Programming,B
10000,CSE114 Computer Science I,A-
10000,CSE161 Laboratory for Computer Science A: Honors,B-
10000,CSE214 Computer Science II,B-
10000,CSE215 Foundations of Computer Science,C+
10000,CSE219 Computer Science III,B-
10000,CSE320 System Fundementals II,B
10000,CSE331 Fundamentals of Computer Security,A-
10000,CSE332 Introduction to Visualization,B+
10000,CSE334 Introduction to Multimedia Systems,B-
10000,CSE371 Logic,B-
10000,CSE392 Social Network Analysis,D
10001,CSE114 Computer Science I,A
10001,CSE150 Foundations of Computer Science: Honors,C+
10001,CSE214 Computer Science II,C
10001,CSE215 Foundations of Computer Science,B+
10001,CSE219 Computer Science III,C
10001,CSE261 Laboratory for Computer Science B: Honors,B+
10001,CSE310 Computer Networks,A
10001,CSE350 Theory of Computation: Honors,B+
10001,CSE353 Machine Learning,B
10001,CSE373 Analysis of Algorithms,B
10001,CSE376 Advanced System Programming in UNIX/C,C+
10001,CSE380 Computer Game Programming,B
10001,CSE381 Advanced Game Programming,C
10001,CSE392 Social Network Analysis,B+
10002,CSE101 Introduction to Computers,B-
10002,CSE114 Computer Science I,A
10002,CSE130 Introduction to Programming in C,B-
10002,CSE214 Computer Science II,B+
10002,CSE215 Foundations of Computer Science,B
10002,CSE219 Computer Science III,C+
10002,CSE306 Operating Systems,A-
10002,CSE311 Systems Administration,B
10002,CSE331 Fundamentals of Computer Security,B
10002,CSE337 Scripting Languages,A-
10002,CSE352 Artificial Intelligence,A
10002,CSE390 Natural Language Processing,B+
10002,CSE487 Research in Computer Science,B
10003,CSE114 Computer Science I,A
10003,CSE214 Computer Science II,B
10003,CSE215 Foundations of Computer Science,A-
10003,CSE219 Computer Science III,A-
10003,CSE308 Software Engineering,A
10003,CSE323 Human Computer Interaction,A
10003,CSE331 Fundamentals of Computer Security,B
10003,CSE332 Introduction to Visualization,B+
10003,CSE346 Computer Communications,B+
10003,CSE352 Artificial Intelligence,B
10003,CSE355 Computational Geometry,A-
10003,CSE362 Mobile Security,A
10003,CSE390 Natural Language Processing,A-
10003,CSE475 Undergraduate Teaching Practicum,D+
10004,CSE114 Computer Science I,C
10004,CSE160 Computer Science A: Honors,C+
10004,CSE214 Computer Science II,C+
10004,CSE215 Foundations of Computer Science,C
10004,CSE219 Computer Science III,B+
10004,CSE311 Systems Administration,C
10004,CSE336 Internet Programming,A-
10004,CSE355 Computational Geometry,B+
10004,CSE360 Software Security,A
10004,CSE370 Wireless and Mobile Networking,A
10004,CSE376 Advanced System Programming in UNIX/C,A-
10004,CSE377 Introduction to Medical Imaging,B+
10005,CSE114 Computer Science I,A
10005,CSE214 Computer Science II,B+
10005,CSE215 Foundations of Computer Science,F
10005,CSE219 Computer Science III,C+
10005,CSE301 History of Computing,B+
10005,CSE305 Principles of Database Systems,C
10005,CSE320 System Fundementals II,B
10005,CSE328 Fundamentals of Computer Graphics,B+
10005,CSE361 Web Security,C
10005,CSE376 Advanced System Programming in UNIX/C,C+
10006,CSE114 Computer Science I,D+
10006,CSE214 Computer Science II,C
10006,CSE215 Foundations of Computer Science,B
10006,CSE219 Computer Science III,F
10006,CSE260 Computer Science B: Honors,C+
10006,CSE311 Systems Administration,B+
10006,CSE332 Introduction to Visualization,B
10006,CSE355 Computational Geometry,C+
10006,CSE362 Mobile Security,D+
10006,CSE371 Logic,B+
10006,CSE380 Computer Game Programming,C
10006,CSE390 Natural Language Processing,A-
10006,CSE475 Undergraduate Teaching Practicum,A-
10007,CSE114 Computer Science I,C
10007,CSE160 Computer Science A: Honors,C+
10007,CSE161 Laboratory for Computer Science A: Honors,B+
10007,CSE214 Computer Science II,B
10007,CSE215 Foundations of Computer Science,A
10007,CSE219 Computer Science III,D+
10007,CSE307 Principles of Programming Languages,B
10007,CSE328 Fundamentals of Computer Graphics,C+
10007,CSE331 Fundamentals of Computer Security,B+
10007,CSE346 Computer Communications,C+
10007,CSE360 Software Security,C+
10007,CSE392 Social Network Analysis,B+
10007,CSE487 Research in Computer Science,D
10008,CSE114 Computer Science I,A-
10008,CSE214 Computer Science II,A-
10008,CSE215 Foundations of Computer Science,C
10008,CSE219 Computer Science III,C+
10008,CSE260 Computer Science B: Honors,A
10008,CSE300 Technical Communications,B+
10008,CSE305 Principles of Database Systems,B-
10008,CSE311 Systems Administration,B
10008,CSE323 Human Computer Interaction,C+
10008,CSE362 Mobile Security,B+
10008,CSE377 Introduction to Medical Imaging,B-
10008,CSE392 Social Network Analysis,A
